sigma,pi_reward,alpha,delta,n_seeds,regime_majority,n_collapse,n_capture,n_mixed,n_quiet,median_fund_prevalence,median_exit_rate,median_top5_share,median_max_punish,median_enforcer_punish_share
0.95,0.25,0.4,0.2,5,MIXED,0,0,5,0,0.12890625,0.2742857142857143,0.769289027738332,0.1342857142857142,0.9706150451755083
0.95,0.5,0.4,0.2,5,MIXED,0,0,5,0,0.1290322580645161,0.2742857142857143,0.7754281886900775,0.1342857142857142,0.9705474679195691
0.25,0.05,0.4,0.4,5,QUIET,0,0,0,5,0.0,0.0628571428571428,0.6865256124721604,0.0485714285714285,0.6876488315207827
0.25,0.25,0.4,0.4,5,MIXED,0,0,5,0,0.0941704035874439,0.3742857142857143,0.8431515860254348,0.1285714285714285,0.9008955840561695
0.25,0.5,0.4,0.4,5,MIXED,0,0,5,0,0.1275510204081632,0.4142857142857143,0.8232709928454877,0.1685714285714285,0.8929142340800504
0.75,0.05,0.4,0.4,5,MIXED,0,0,5,0,0.0954545454545454,0.3371428571428571,0.8270965437170671,0.1342857142857142,0.9632054352265441
0.75,0.25,0.4,0.4,5,MIXED,0,0,5,0,0.1293103448275862,0.3485714285714286,0.7909077555816686,0.1628571428571428,0.9675813051160489
0.75,0.5,0.4,0.4,5,MIXED,0,0,5,0,0.1422018348623853,0.3542857142857142,0.8021938108382972,0.1628571428571428,0.9703347873930926
0.95,0.05,0.4,0.4,5,MIXED,0,0,5,0,0.088,0.2857142857142857,0.7973985700749419,0.1314285714285714,0.9741301463863733
0.95,0.25,0.4,0.4,5,MIXED,0,0,5,0,0.1245136186770428,0.2685714285714285,0.7683713611329661,0.1371428571428571,0.9750981638848135
0.95,0.5,0.4,0.4,5,MIXED,0,0,5,0,0.1235521235521235,0.26,0.7586476756925966,0.1342857142857142,0.9741722759670352
0.25,0.05,0.4,0.6,5,QUIET,0,0,0,5,0.0,0.0485714285714285,0.6746411483253588,0.0485714285714285,0.7035084414363142
0.25,0.25,0.4,0.6,5,MIXED,0,0,5,0,0.0995475113122171,0.3685714285714285,0.8636280931586608,0.1371428571428571,0.9673821165278614
0.25,0.5,0.4,0.6,5,MIXED,0,0,5,0,0.1285714285714285,0.4057142857142857,0.831874282433984,0.1657142857142857,0.9582343790873266
0.75,0.05,0.4,0.6,5,MIXED,0,0,5,0,0.0927419354838709,0.32,0.8313925446151726,0.1457142857142857,0.9708475365658092
0.75,0.25,0.4,0.6,5,MIXED,0,0,5,0,0.1327800829875518,0.3142857142857143,0.7982027878015991,0.1771428571428571,0.974140946053809
0.75,0.5,0.4,0.6,5,MIXED,0,0,5,0,0.1434599156118143,0.3228571428571428,0.7885407809536268,0.1685714285714285,0.9745033270494707
0.95,0.05,0.4,0.6,5,MIXED,0,0,5,0,0.0891472868217054,0.2457142857142857,0.7806495263870095,0.1342857142857142,0.9784089179263535
0.95,0.25,0.4,0.6,5,MIXED,0,0,5,0,0.1235955056179775,0.2371428571428571,0.748913568324481,0.1371428571428571,0.9771353960861222
0.95,0.5,0.4,0.6,5,MIXED,0,1,4,0,0.1209964412811387,0.2342857142857143,0.7502055270979574,0.1428571428571428,0.9777520567636331
0.25,0.05,0.6,0.0,5,QUIET,0,0,0,5,0.0,0.0828571428571428,0.6568083795440542,0.0485714285714285,0.6764366676580417
0.25,0.25,0.6,0.0,5,MIXED,0,0,5,0,0.1009615384615384,0.4057142857142857,0.7975046021681326,0.1142857142857142,0.7114045173365744
0.25,0.5,0.6,0.0,5,MIXED,0,0,5,0,0.134020618556701,0.4457142857142857,0.7956443425577207,0.1571428571428571,0.7586411474410845
0.75,0.05,0.6,0.0,5,MIXED,0,0,5,0,0.0956521739130434,0.3657142857142857,0.8208717785555202,0.1285714285714285,0.8367948772203845
0.75,0.25,0.6,0.0,5,MIXED,0,0,5,0,0.1300448430493273,0.3628571428571429,0.8096499944794082,0.16,0.9660474163882673
0.75,0.5,0.6,0.0,5,MIXED,0,0,5,0,0.136986301369863,0.3685714285714285,0.8122786304604487,0.1571428571428571,0.9620579249131636
0.95,0.05,0.6,0.0,5,MIXED,0,0,5,0,0.0905349794238683,0.3057142857142857,0.7920654911838791,0.12,0.9604948800478214
0.95,0.25,0.6,0.0,5,MIXED,0,0,5,0,0.1235059760956175,0.2914285714285714,0.7815317762085823,0.1228571428571428,0.9699338256873365
0.95,0.5,0.6,0.0,5,MIXED,0,0,5,0,0.1254901960784313,0.2714285714285714,0.7814662427529456,0.1257142857142857,0.9670395170402947
0.25,0.05,0.6,0.2,5,QUIET,0,0,0,5,0.0,0.0542857142857142,0.6230769230769231,0.0485714285714285,0.6399746960613945
0.25,0.25,0.6,0.2,5,MIXED,0,0,5,0,0.0975609756097561,0.4057142857142857,0.8355605048255382,0.1228571428571428,0.8531509763879378
0.25,0.5,0.6,0.2,5,MIXED,0,0,5,0,0.1176470588235294,0.4171428571428571,0.819190498515393,0.1628571428571428,0.8131020273795684
0.75,0.05,0.6,0.2,5,MIXED,0,0,5,0,0.0934959349593495,0.3514285714285714,0.8485607008760951,0.1314285714285714,0.9418322786349175
0.75,0.25,0.6,0.2,5,MIXED,0,0,5,0,0.1312217194570135,0.3685714285714285,0.8112521281535366,0.1571428571428571,0.9651256521707389
0.75,0.5,0.6,0.2,5,MIXED,0,0,5,0,0.1409090909090909,0.3628571428571429,0.7984770484770485,0.1628571428571428,0.9674397149390981
0.95,0.05,0.6,0.2,5,MIXED,0,0,5,0,0.0912863070539419,0.3,0.800718132854578,0.12,0.969278918050854
0.95,0.25,0.6,0.2,5,MIXED,0,0,5,0,0.1309523809523809,0.28,0.7680253797346664,0.1285714285714285,0.971022289313144
0.95,0.5,0.6,0.2,5,MIXED,0,0,5,0,0.1269841269841269,0.28,0.7764266481368888,0.1371428571428571,0.9705971157023854
0.25,0.05,0.6,0.4,5,QUIET,0,0,0,5,0.0,0.0628571428571428,0.6781929726715002,0.0485714285714285,0.7079633971769432
0.25,0.25,0.6,0.4,5,MIXED,0,0,5,0,0.0873362445414847,0.4057142857142857,0.8369300665260425,0.1314285714285714,0.9038840434017587
