sigma,pi_reward,alpha,delta,mu_membership_reward,seed,final_fund_prevalence,final_exit_rate,max_punish,top5_punishment_share,top10_punishment_share,enforcer_punish_share,regime,run_dir
0.95,0.25,0.0,0.3,0.0,9,0.144578313253012,0.2885714285714286,0.1457142857142857,0.7678965021562051,0.9749880210828941,0.9545287740390929,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6b_membership_sweep/mu_0.00/delta_0.30/sigma_0.95/pi_0.25/seed_09
0.95,0.25,0.0,0.3,0.0,10,0.1333333333333333,0.3142857142857143,0.1342857142857142,0.7852505087702297,0.9806182769648222,0.9706115028136251,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6b_membership_sweep/mu_0.00/delta_0.30/sigma_0.95/pi_0.25/seed_10
0.95,0.5,0.0,0.3,0.0,1,0.1269841269841269,0.28,0.1285714285714285,0.7700291645222165,0.9805283925201578,0.9719818604545172,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6b_membership_sweep/mu_0.00/delta_0.30/sigma_0.95/pi_0.50/seed_01
0.95,0.5,0.0,0.3,0.0,2,0.1169811320754717,0.2428571428571428,0.1342857142857142,0.7745179521276596,0.9788896276595744,0.9696203143444478,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6b_membership_sweep/mu_0.00/delta_0.30/sigma_0.95/pi_0.50/seed_02
0.95,0.5,0.0,0.3,0.0,3,0.134453781512605,0.32,0.1314285714285714,0.7673293927995701,0.9812696706839641,0.9716292865549098,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6b_membership_sweep/mu_0.00/delta_0.30/sigma_0.95/pi_0.50/seed_03
0.95,0.5,0.0,0.3,0.0,4,0.1274900398406374,0.2828571428571428,0.1285714285714285,0.7601457677654464,0.9808679807851582,0.9733455794277202,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6b_membership_sweep/mu_0.00/delta_0.30/sigma_0.95/pi_0.50/seed_04
0.95,0.5,0.0,0.3,0.0,5,0.1322314049586777,0.3085714285714285,0.14,0.779459938025675,0.981053563523683,0.9716571888122778,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6b_membership_sweep/mu_0.00/delta_0.30/sigma_0.95/pi_0.50/seed_05
0.95,0.5,0.0,0.3,0.0,6,0.1336032388663967,0.2942857142857142,0.1371428571428571,0.7633707494222516,0.9827500825354902,0.974769894378559,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6b_membership_sweep/mu_0.00/delta_0.30/sigma_0.95/pi_0.50/seed_06
0.95,0.5,0.0,0.3,0.0,7,0.1240310077519379,0.2628571428571428,0.1428571428571428,0.766338873901314,0.9801583848229048,0.9711411294911274,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6b_membership_sweep/mu_0.00/delta_0.30/sigma_0.95/pi_0.50/seed_07
0.95,0.5,0.0,0.3,0.0,8,0.12,0.2857142857142857,0.1228571428571428,0.781937893081761,0.9811320754716981,0.9696703283989742,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6b_membership_sweep/mu_0.00/delta_0.30/sigma_0.95/pi_0.50/seed_08
0.95,0.5,0.0,0.3,0.0,9,0.1269841269841269,0.28,0.1457142857142857,0.76381585017068,0.976473844450595,0.9605493297172121,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6b_membership_sweep/mu_0.00/delta_0.30/sigma_0.95/pi_0.50/seed_09
0.95,0.5,0.0,0.3,0.0,10,0.1341463414634146,0.2971428571428571,0.1457142857142857,0.7547863247863248,0.9805982905982906,0.9700042856150671,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6b_membership_sweep/mu_0.00/delta_0.30/sigma_0.95/pi_0.50/seed_10
0.75,0.25,0.0,0.6,0.0,1,0.124,0.2857142857142857,0.1657142857142857,0.8071283095723014,0.9817379497623897,0.9714681235028284,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6b_membership_sweep/mu_0.00/delta_0.60/sigma_0.75/pi_0.25/seed_01
0.75,0.25,0.0,0.6,0.0,2,0.134453781512605,0.32,0.1628571428571428,0.7831051668664437,0.9806321367737051,0.9710100580429226,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6b_membership_sweep/mu_0.00/delta_0.60/sigma_0.75/pi_0.25/seed_02
0.75,0.25,0.0,0.6,0.0,3,0.1379310344827586,0.3371428571428571,0.1771428571428571,0.7949507002449288,0.9840482321170634,0.9756870936317745,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6b_membership_sweep/mu_0.00/delta_0.60/sigma_0.75/pi_0.25/seed_03
0.75,0.25,0.0,0.6,0.0,4,0.1561181434599156,0.3228571428571428,0.1714285714285714,0.7922245424395038,0.982680260410269,0.9750599102717231,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6b_membership_sweep/mu_0.00/delta_0.60/sigma_0.75/pi_0.25/seed_04
0.75,0.25,0.0,0.6,0.0,5,0.1504424778761062,0.3542857142857142,0.1685714285714285,0.81237960703737,0.9836265570823167,0.9754052422116076,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6b_membership_sweep/mu_0.00/delta_0.60/sigma_0.75/pi_0.25/seed_05
0.75,0.25,0.0,0.6,0.0,6,0.1461187214611872,0.3742857142857143,0.1714285714285714,0.781540847983454,0.9850698035160289,0.9751857378397135,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6b_membership_sweep/mu_0.00/delta_0.60/sigma_0.75/pi_0.25/seed_06
