punish_floor,seed,regime_hier,final_delta,median_exit_rate,final_fund_prevalence,max_punish
0.12,16,MIXED,0.28,0.4285714285714285,0.145,0.1228571428571428
0.12,17,MIXED,0.5748472000000001,0.4714285714285714,0.1459459459459459,0.1171428571428571
0.12,18,MIXED,0.5748472000000001,0.3971428571428571,0.1090047393364928,0.12
0.12,19,MIXED,0.6556262320000001,0.4371428571428571,0.1522842639593908,0.1257142857142857
0.12,20,QUIET,0.2,0.4514285714285714,0.1197916666666666,0.0942857142857142
0.12,21,MIXED,0.47512,0.4485714285714285,0.160621761658031,0.1171428571428571
0.12,22,MIXED,0.9999999999994608,0.24,0.1203007518796992,0.1228571428571428
0.12,23,MIXED,0.5276080000000001,0.38,0.1105990783410138,0.1114285714285714
0.12,24,MIXED,0.9999999999999996,0.2028571428571428,0.1218637992831541,0.1428571428571428
0.12,25,MIXED,0.2,0.4085714285714286,0.1207729468599033,0.1057142857142857
0.12,26,MIXED,0.9999999982014428,0.2028571428571428,0.1003584229390681,0.1257142857142857
0.12,27,MIXED,0.9999999281484006,0.2028571428571428,0.1290322580645161,0.1285714285714285
0.12,28,MIXED,0.2,0.4457142857142857,0.1134020618556701,0.1114285714285714
0.12,29,MIXED,0.4168,0.4971428571428571,0.1477272727272727,0.1171428571428571
0.12,30,MIXED,0.5748472000000001,0.3571428571428571,0.12,0.1142857142857142
0.15,1,MIXED,0.2,0.4028571428571428,0.1148325358851674,0.1142857142857142
0.15,2,MIXED,0.2,0.4514285714285714,0.1197916666666666,0.1228571428571428
0.15,3,MIXED,0.2,0.4685714285714286,0.1344086021505376,0.1142857142857142
0.15,4,MIXED,0.2,0.5542857142857143,0.1538461538461538,0.1114285714285714
0.15,5,MIXED,0.2,0.44,0.1173469387755102,0.1171428571428571
0.15,6,MIXED,0.2,0.4485714285714285,0.1398963730569948,0.1114285714285714
0.15,7,MIXED,0.2,0.5,0.16,0.1142857142857142
0.15,8,MIXED,0.2,0.3485714285714286,0.1052631578947368,0.1114285714285714
0.15,9,MIXED,0.2,0.3657142857142857,0.1306306306306306,0.1142857142857142
0.15,10,MIXED,0.2,0.3914285714285714,0.1408450704225352,0.1228571428571428
0.15,11,MIXED,0.2,0.3771428571428571,0.0963302752293578,0.12
0.15,12,MIXED,0.2,0.4857142857142857,0.1555555555555555,0.1314285714285714
0.15,13,MIXED,0.2,0.4457142857142857,0.1391752577319587,0.1171428571428571
0.15,14,MIXED,0.2,0.4171428571428571,0.1470588235294117,0.12
0.15,15,MIXED,0.2,0.3857142857142857,0.1162790697674418,0.1314285714285714
0.15,16,MIXED,0.2,0.4342857142857143,0.1515151515151515,0.1228571428571428
0.15,17,MIXED,0.2,0.5057142857142857,0.1560693641618497,0.1171428571428571
0.15,18,MIXED,0.2,0.4228571428571429,0.1089108910891089,0.12
0.15,19,MIXED,0.2,0.44,0.1581632653061224,0.1257142857142857
0.15,20,QUIET,0.2,0.4514285714285714,0.1197916666666666,0.0942857142857142
0.15,21,MIXED,0.2,0.4628571428571428,0.1595744680851064,0.1171428571428571
0.15,22,MIXED,0.2,0.48,0.1318681318681318,0.1314285714285714
0.15,23,MIXED,0.2,0.3771428571428571,0.1146788990825688,0.1114285714285714
0.15,24,MIXED,0.2,0.56,0.1493506493506493,0.12
